name,phone,email,website,category,address1,address2,region,zip,country,googlestars,googlecount,yelpstars,yelpcount,fbstars,fbcount,ig_followers
"Brite Dental Spa","+16466281211","info@britedentalnyc.com","https://www.britedentalnyc.com/","Dentist","718 10th Ave","New York","NY","10019","US","4.5","323","","","","","9416"
"Happy Smile Pediatric Dentistry","+12128802222","happypeds@gmail.com","https://www.happysmiledentistry.com/","Paediatric Dentist","220 Madison Ave Penthouse A","New York","NY","10016","US","4.9","324","","","","","820"
"NY Dental Partners","+12124724500","nydentalpartners@gmail.com","https://www.nydentalpartners.com/","Dentist","945 Lexington Ave","New York","NY","10021","US","5","99","","","","",""
"Marini & Manci","+12122261666","marinimancinj@gmail.com","https://www.mariniandmanci.com/","Dentist","21 Spring St #2","New York","NY","10012","US","4.0","22","4","21","","","520"
"Gallery57Dental","+12122468700","stefani@gallery57dental.com","https://gallery57dental.com/","Dentist","156 W 56th St Suite 903","New York","NY","10019","US","4.9","530","","","","","5924"
"DentAlign NYC","+17163500665","dentalignnyc@gmail.com","https://www.nyc-dentalign.com/","Clinic","405 Lexington Ave 54th floor","New York","NY","10174","US","4.7","102","","","","",""
"Delaire Dental","+16464125540","info@delairedental.com","https://delairedental.com/","Dentist","347 5th Ave Rm 900B","New York","NY","10016","US","5.0","179","","","","","596"
"Jalal Fatehi, DDS","+12122696655","info@ddsgroupnyc.com","http://www.ddsgroupnyc.com/","Dentist","DDS, 42 Broadway","New York","NY","10004","US","5","6","3.2","129","","","2117"
"Coliseum Dental","+12127573183","kipsbay@coliseumdental.com","https://coliseumdental.com/","Dentist","244 W 54th St #614","New York","NY","10019","US","4.6","605","","","","","3037"
"Zendentistry - Midtown","+12125373894","developer@vdsupport.com","https://www.zendentistrynyc.com/","Cosmetic dentist","30 E 60th St #401","New York","NY","10022","US","4.7","473","","","","","5852"
"Harvey Katz, DDS & Jason Katz, DDS","+16463741811","fd@katzsmile.com","https://katzsmile.com/","Dentist","51 Madison Ave Suite 1400","New York","NY","10010","US","5","109","","","","",""
"Rockefeller Dental Group","+12122469070","info@rockcenterdental.com","https://rockefellerdentalgroup.com/","Cosmetic dentist","630 5th Ave #1870","New York","NY","10111","US","5.0","237","","","","","861"
"SmileNY Dental","+12125931499","winterdds@smileny.nyc","https://www.smileny.nyc/","Dentist","121 E 60th St #1C","New York","NY","10022","US","4.9","53","","","","",""
"Uptown Dental Group","+16466930625","uptowndentalgroup@gmail.com","https://uptownnycdental.com/","Dental clinic","240 W 116th St","New York","NY","10026","US","4.4","386","","","","",""
"Nina Kiani, DDS","+12122798770","carmen@ninakianidds.com","http://www.ninakianidds.com/","Dentist","14 Pennsylvania Plaza #1314","New York","NY","10122","US","4.9","249","","","","","522"
"Happy Teeth NY","+12128106562","drlal@happyteethny.com","http://www.happyteethny.com/","Paediatric Dentist","220 Riverside Blvd","New York","NY","10069","US","5","164","","","","",""
"Joel Klasfeld, DDS","+12122469070","info@rockcenterdental.com","http://www.rockcenterdental.com/","Dentist","630 5th Ave #1870","New York","NY","10111","US","5.0","4","","","","","861"
"Steven Fox, DDS","+12129531544","addemail@gmail.com","https://www.drstevefox.com/","Dentist","110 E 40th St STE 406","New York","NY","10016","US","4.7","226","","","","","264"
"Magic Smile","+16464904323","elik1111@gmail.com","http://www.nycteethwhiteningservice.com/teeth-whitening-services.html","Teeth whitening service","291 Broadway #1000","New York","NY","10007","US","4.9","46","4.8","12","","",""
"Dr. Beth M. Kulick, DDS","+12127257017","info@elikulickdental.com","http://www.zakfrankeldental.com/","Dentist","471 3rd Ave","New York","NY","10016","US","4","4","","","","",""
"Madison Dental Loft","+16466240987","info@nycdental.com","https://nycdental.com/manhattan/dentistry","Dentist","30 E 40th St RM 806","New York","NY","10016","US","4.9","345","4.5","30","","","63"
"Brooklyn Dental Professionals","+17184867600","bkdentalpros@gmail.com","http://bkdentalprofessionals.com/","Dentist","700 Grand St","Brooklyn","NY","11211","US","4.7","232","","","","",""
"Dental Serenity of Manhattan","+12128589266","info@dentalserenity.us","https://www.dentalserenity.us/","Dental clinic","515 Madison Ave #1212","New York","NY","10022","US","4.8","294","","","5","14",""
"Madison Dental PC - Okon Jonathan E DMD","+12123801165","mydentist@425madison.com","https://www.madisondentalpc.com/","Dentist","425 Madison Ave RM1800","New York","NY","10017","US","4.9","324","","","","",""
"Advent Dental","+12126440004","adventdds@midtowndentistnewyork.com","https://www.midtowndentistnewyork.com/","Dentist","509 Madison Ave #702","New York","NY","10022","US","5.0","2","","","","",""
"Allen &amp; Schwarz Dental","+12127533450","info@allenandschwarzdental.com","https://www.allenandschwarzdental.com/","Dentist","30 Central Park S #10B","New York","NY","10019","US","5.0","147","","","","",""
"Smiles on the Upper Westside","+12122225225","","https://www.drmassiah.com/","Dentist","15 W 96th St 4th Floor","New York","NY","10025","US","4.9","353","","","","",""
"New York Smiles Dental","+12128658280","newyorksmilesdental@gmail.com","http://www.newyorksmilesdental.com/","Dentist","2608 Broadway","New York","NY","10025","US","4.5","124","","","","",""
"Manhattan Aesthetic Dentistry - Nargiz Schmidt D.D.S.","+16467157890","manhattanaestheticd@gmail.com","https://manhattanaestheticdentistry.com/","Prosthodontist","525 W End Ave 1 G","New York","NY","10024","US","5","5","","","","","1022"
"Tooth Works","+16465586058","drmal@toothworksnyc.com","http://www.toothworksnyc.com/","Paediatric Dentist","232 W 61st St","New York","NY","10023","US","4.5","24","","","","","165"
"Robert Zarabi, DDS","+12128380840","drzarabi@yahoo.com","https://www.zarabidental.com/","Dental implants periodontist","E th St","New York","NY","10155","US","4.7","174","","","","","277"
"Esthetix Dentist, NYC's Dental Implant &amp; Cosmetic Specialist","+12127959675","a.philomin@esthetixdentalspa.com","https://www.esthetixdentalspa.com/","Dental implants provider","285 Fort Washington Ave","New York","NY","10032","US","4.8","1156","","","","","121480"
"Next Generation Dental","+12123623360","","https://nxdental.com/","Dentist","5 W 71st St","New York","NY","10023","US","4.8","226","","","","","3047"
"Schweitzer & Schweitzer, PC","+12127594969","info@schweitzerdental.com","https://www.schweitzerdental.com/","Dentist","133 E 58th St #803","New York","NY","10022","US","5","128","","","","","1161"
"Central Park West Dental","+12128770405","drvogel@centralparkwestdental.com","https://www.centralparkwestdental.com/","Dentist","101 Central Prk W # 1d","New York","NY","10023","US","5.0","265","","","","","258"
"Truth and Laughter Dentistry: Asma Muzaffar, DDS, MPH, MS","+12127516428","info@truthandlaughter.com","https://www.truthandlaughter.com/","Dentist","57 W 57th St #1008","New York","NY","10019","US","5.0","232","","","","","161"
"Harlem Center for Aesthetic Dentistry","+12122834800","hello@harlemdentistry.com","http://www.harlemdentistry.com/","Dentist","470 Malcolm X Blvd #1d","New York","NY","10037","US","4.8","321","","","","","175"
"Justin S Boyd, DDS","+12127559055","office@drsboyd.com","https://www.drsboyd.com/cosmetic-dentistry.html","Dentist","515 Madison Ave #1616","New York","NY","10022","US","5.0","3","","","","","436"
"NY Periodontics: Dr. David Weinstein, Dr. Stuart Froum, Dr. Clifford Melnick, & Dr. Allison Rascon","+12129802800","office@newyorkperiodontist.com","http://www.newyorkperiodontist.com/","Dental implants periodontist","136 E 64th St #1c","New York","NY","10065","US","5.0","551","","","","","1050"
"Kanner Dental","+12128615500","kanner53@gmail.com","http://www.kannerdental.com/","Dentist","53 E 66th St","New York","NY","10065","US","4.9","65","","","","",""
"Lawrence Spindel DDS","+12126850312","drspindeldds@gmail.com","https://www.spindentistry.com/","Dentist","30 E 40th St #604","New York","NY","10016","US","4.9","80","","","","",""
"Dr. David Janash, DMD","+12123552000","info@parksouthdentistry.com","http://www.parksouthdentistry.com/meet-our-doctors.html","Dentist","30 Central Park S","New York","NY","10019","US","5","2","","","","","294"
"Les Belles NYC Dentistry","+12128048884","","https://www.lesbellesnyc.com/","Dentist","110 E 60th St # 902","New York","NY","10022","US","4.9","594","","","","","20893"
"Manhattan Oasis Dentistry","+12128742880","modentistry@gmail.com","http://www.manhattanoasisdentistry.com/","Dentist","525 W End Ave 1 G","New York","NY","10024","US","4.8","277","","","","","218"
"Dr. Courtney Chinn, DDS","+12122269339","development@cbwchc.org","http://www.chinatownhealth.org/","Dentist","125 Walker St","New York","NY","10013","US","","","","","","",""
"Paul L. Gregory, DDS","+12128260505","drpaulgregory@gmail.com","http://www.dentistmanhattannewyork.com/","Dentist","57 W 57th St","Manhattan","NY","10019","US","5.0","171","","","","",""
"Alex Vasserman DMD","+12128821102","info@dralexvasserman.com","http://www.dralexvasserman.com/","Dentist","955 Lexington Ave # 1a","New York","NY","10021","US","4.9","89","","","4.5","13","1136"
"SLim Dental Kids","+16467620256","kids@slimdental.com","http://www.slimdentalkids.com/","Paediatric Dentist","1400 York Ave","New York","NY","10021","US","4.9","298","","","","","1000"
"Pressner Saul M DDS","+12122498999","saultooth@aol.com","http://newyork-cosmeticdentist.com/","Dentist","57 E 72nd St","New York","NY","10021","US","4.7","15","","","","",""
"Dr. Gigi Arnaud Coaching; NYC Life Coach and Hypnotherapist","+12014100064","giselerarnaud@gmail.com","https://gigiarnaud.com/","Life coach","390 Riverside Dr","New York","NY","10036","US","5","11","","","","","480"
"Carlos M. Valdes, DMD","+12129290080","cosmeticdentalofnewyork@gmail.com","http://www.implantdentistofmanhattan.com/","Dentist","53 E 66th St","New York","NY","10065","US","5.0","22","","","","",""
"Morningside Dental Care","+13322916123","info@morningsidedentalcare.com","https://morningsidedentalcare.com/","Dentist","527 Manhattan Ave","New York","NY","10027","US","4.6","602","","","","","540"
"Bar And Smith Dental","+12125343020","office@barandsmithdental.com","https://www.barandsmithdental.com/","Dentist","1737 York Ave #1a","New York","NY","10128","US","4.9","603","","","","",""
"Dr. Cynthia Gomez - Periodontist","+12129419095","tribeca@godental365.com","https://www.nycperiolaser.com/","Periodontist","19 Murray St","New York","NY","10007","US","5.0","9","","","","",""
"New York Family Dentistry","+17187630505","","https://newyorkfamilydentistry.com/","Dentist","9323 Avenue L","Brooklyn","NY","11236","US","4.1","370","","","","",""
"Wendy Mayer, DDS","+12122462398","wmayerdds@gmail.com","https://www.mayerdentalcare.com/","Dentist","240 Central Park S #2i","New York","NY","10019","US","4.7","125","","","","",""
"Joule Dental","+12125293168","hello@jouledental.com","http://www.jouledental.com/","Dentist","875 Park Ave Apt 1e","New York","NY","10075","US","5","202","","","","","599"
"Upper East Smiles","+16468641808","drchungperio@gmail.com","https://www.uppereastsmiles.com/","Dentist","261 E 78th St","New York","NY","10075","US","4.8","498","","","","",""
"Dr. Calamia","+12123700012","","https://drscalamia.com/","Dentist","4 Lexington Ave #1np","New York","NY","10010","US","5","235","","","","","430"
"Rockefeller Dentistry: Marc B. Gainor, DMD","+12122461333","rockefellerdentistry@gmail.com","https://www.rockefellerdentistry.com/","Dentist","1 Rockefeller Plaza #2219","New York","NY","10020","US","5.0","95","","","","",""
"Shick Robert DDS","+12127490600","dentalpassionllc@gmail.com","http://www.dentalpassion.com/","Dentist","164 W 96th St","New York","NY","10025","US","4.3","6","","","","",""
"W Dental","+12129399399","wdentalnyc@gmail.com","https://www.wdentalnyc.com/","Dentist","706 St Nicholas Ave","New York","NY","10031","US","4.8","210","","","","",""
"Stacy Spizuoco, DDS","+19175255833","office@truedentalnyc.com","http://www.truedentalnyc.com/","Dentist","220 Madison Ave B","New York","NY","10016","US","4.8","34","","","","","6569"
"Laura B. Ruof, DDS","+13126642100","us@chicagosmiledesign.com","http://www.chicagosmiledesign.com/","Dentist","437 W North Ave","Chicago","IL","60610","US","5.0","1","","","","",""
"Jared Shore DMD","+12128320808","centralparks30@aol.com","http://drjaredshore.com/","Dentist","30 Central Park S RM 3B","New York","NY","10019","US","5.0","24","","","","","257"
"Armstrong Dental Studio","+12125376028","","https://www.armstrongdentalstudio.com/","Cosmetic dentist","30 E 60th St #2001","New York","NY","10022","US","4.8","803","","","","","1339"
"NYC Dental Office","+12129672843","info@nycdentaloffice.com","http://www.nycdentaloffice.com/","Dentist","19 W 34th St. #1209","New York","NY","10001","US","3.8","4","","","","","229"
"East Village Dental Center","+16823829614","info@eastvillagedentalcenter.com","https://eastvillagedentalcenter.com/","Dentist","55 Loisaida Ave","New York","NY","10009","US","4.6","606","2.7","34","","","108"
"NY1 Dental - Dr. Vera Chernomordik DMD","+12128040500","","https://www.smartteethnyc.com/","Dentist","305 A West 28th Street Ground Floor","New York","NY","10001","US","5.0","279","4.9","15","","",""
"Glow Dental of Midtown Manhattan: Dr. Alina Huang","+12126978620","hello@glowdentalnyc.com","https://dentistinmidtownmanhattan.com/","Dentist","358 5th Ave #406","New York","NY","10001","US","4.9","224","4.5","8","","","134"
"Beyond Dentistry","+12125823322","hello@drmichaelherman.com","https://beyonddentistrynyc.com/","Dental clinic","128 Central Park S Suite 1A","New York","NY","10019","US","4.9","193","","","","",""
"NEW YORK DENTAL SPECIALTY GROUP","+12127995310","manager@nxdentist.com","https://www.newyorkdentalspecialty.com/","Dentist","180 W End Ave #1f","New York","NY","10023","US","4.8","82","","","","",""
"Dr. Sameh Aknouk Dental Services PC","+12126776568","drsaknouk@gmail.com","https://www.saknoukdentalservicespc.com/","Dentist","853 Broadway #911","New York","NY","10003","US","4.3","150","1.6","34","","",""
"Smile Village Dental","+12122541422","dkonardds@gmail.com","https://smilevillage.nyc/","Dentist","1 Washington Square Village # 1s","New York","NY","10012","US","5.0","117","4.7","9","","",""
"Downtown Dental NYC (Mailin Mimi Lai DDS)","+12122273088","info@dentistmimilai.com","https://www.dentistmimilai.com/sections/practice.htm","Dentist","11 E Broadway 13th fl","New York","NY","10038","US","3.2","94","3","95","4.5","8",""
"Pristine Dental","+12129938428","contact@pristinedentalnyc.com","https://www.pristinedentalnyc.com/","Dentist","425 Madison Ave RM1800","New York","NY","10017","US","5","116","","","","","8246"
"Midtown Dental Care Associates","+12126854730","smiles@midtowndentalcareassociates.com","https://www.midtowndentalcareassociates.com/","Dentist","12 E 41st St suite 1100","New York","NY","10017","US","4.9","557","5","33","","","347"
"212 Dental Care","+18885069583","patientcare@212dentalcare.com","http://212dentalcare.com/","Dental clinic","286 Madison Ave 10th Floor","New York","NY","10017","US","4.7","2421","","","","","346"
"Manhattan Dental Design: Ernest Tchoi, DMD","+16465044377","smile@manhattandentaldesign.com","https://www.manhattandentaldesign.com/","Dental clinic","315 W 57th St #206","New York","NY","10019","US","5.0","320","","","","","199"
"Expert Dental - Midtown","+12127633383","info@expertdentalnyc.com","https://www.expertdentalnyc.com/","Dentist","110 E 40th St #104","New York","NY","10016","US","4.5","1978","4.2","902","","",""
"54th Street Dental","+12123333200","54stdental@gmail.com","https://54thstreetdental.com/","Dental clinic","45 W 54th St # 1c","New York","NY","10019","US","4.8","203","","","","",""
"Soho Dental Loft - Lee Gold DDS, PC","+16468705652","info@sohodentalloft.com","http://sohodentalloft.com/","Dentist","589 Broadway 2nd floor","New York","NY","10012","US","5.0","308","4.7","37","","","2049"
"Manhattan Smiles Dental","+12123751160","manhattansmilesnyc@gmail.com","http://www.manhattansmilesdental.com/","Dentist","16 W 32nd St Suite 507","New York","NY","10001","US","4.8","40","","","","",""
"Your Dental Bryant Park","+12126825580","info@yrdental.com","http://www.yrdental.com/","Dentist","501 5th Ave #703","New York","NY","10017","US","5.0","235","","","","",""
"Grand Street Dental: Dr. Jennifer Plotnick","+17189429942","hello@grandstreetdental.com","https://www.grandstreetdental.com/","Dentist","57 Grand St","Brooklyn","NY","11249","US","5.0","631","4.7","46","","","13750"
"Dental Love","+12127528722","dentallovellc@gmail.com","http://www.rooseveltislandadvanceddentistry.com/","Paediatric Dentist","501a Main St","New York","NY","10044","US","4.7","119","","","","",""
"Modern Dental of Manhattan","+12127581000","moderndental425@gmail.com","https://www.manhattandentists.com/","Dental implants provider","425 Madison Ave Rm 500","New York","NY","10017","US","5.0","218","","","","","563"
"Carnegie Hill Dental","+12127372727","nydentistonline@gmail.com","https://www.nyfamilydentistonline.com/","Dentist","12 East 86th St #2","New York","NY","10028","US","4.9","159","","","","",""
"Kasil Dentistry","+12126882452","lkangdds@gmail.com","https://www.kasildentistry.com/%20%20%20https://app.nexhealth.com/appt/kasildentistry","Cosmetic dentist","110 E 55th St Flr 15","New York","NY","10022","US","5","56","","","","",""
"Core Smiles","+12122510044","","https://coresmiles.com/","Dentist","1182 Broadway 4th floor","New York","NY","10001","US","4.9","149","","","","","31868"
"New York City Endodontics","+12124219565","office@nycendodontics.com","http://www.nycendodontics.com/","Clinic","30 E 60th St 18th floor","New York","NY","10022","US","5","893","","","","","1136"
"Gramercy Pediatric Dentistry","+12124777712","info@gramercykidsdental.com","https://www.gramercykidsdental.com/","Paediatric Dentist","195 3rd Ave","New York","NY","10003","US","5.0","507","5","2","","","1193"
"M.Y. Dental Spa","+12127865757","mydentalspa30cps@yahoo.com","https://www.mydentalspa.net/","Dentist","575 Madison Ave Suite 1503","New York","NY","10022","US","4.9","112","","","","","418"
"Blondman Dental","+12127723201","dr.randi@blondmandental.com","http://www.blondmandental.com/","Dentist","129 E 69th St","New York","NY","10021","US","5","120","","","","","383"
"Madison Dental Partners","+12127441333","sfschwartzdds@msn.com","https://www.madisondentalpartners.com/","Dental clinic","20 E 68th St #208","New York","NY","10065","US","5","40","","","","","82"
"dntl bar - Chelsea","+16469695632","wallst@dntlbar.com","http://www.dntlbar.com/","Dentist","776 6th Ave","New York","NY","10001","US","4.1","372","3.8","6","","","8291"
"New York Smile Institute","+12123196363","","https://www.nysi.org/","Dentist","693 5th Ave 14th floor","New York","NY","10022","US","4.9","330","","","","","15950"
"Quickbleach Dental","+12123085577","info@quick-bleach.com","https://www.quick-bleach.com/","Dental clinic","120 E 56th St suite 730","New York","NY","10022","US","4.4","5","","","","",""
"InStyle Dental","+12126952173","reza.younesi@instyledentalcare.com","https://www.instyledentalcare.com/","Dentist","450 7th Ave Suite 800","New York","NY","10123","US","4.9","544","","","","","1070"
"Charles Hashim, DDS","+12124063421","info@nassaustdental.com","http://www.nassaustdental.com/","Dentist","122 Fulton St # 2","New York","NY","10038","US","1.0","1","3.5","69","","",""
"Bharat Vohra, DDS","+12127372727","nydentistonline@gmail.com","http://www.carnegiehilldental.com/","Dentist","12 East 86th St #2","New York","NY","10028","US","4.9","51","","","","",""
"Rene Horvilleur, DDS","+12128676768","hrenedds@gmail.com","https://www.drhorvilleur.com/","Dentist","420 Lexington Ave # 228","New York","NY","10170","US","4.8","70","","","","",""
"Omnident NY Rockefeller Center","+12123556122","","http://www.omnidentny.com/","Dentist","1 Rockefeller Plaza #2221","New York","NY","10020","US","4.9","104","","","","","530"
"Cascada Dental Spa","+12127951040","info@cascadadental.com","https://www.cascadadental.com/","Cosmetic dentist","719 W 181st St","New York","NY","10033","US","4.5","843","","","","","13059"
"Bright Healthy Smiles","+12123557760","","http://www.brighthealthysmiles.com/","Paediatric Dentist","206 Spring St 5th Floor","New York","NY","10012","US","5.0","21","","","","","911"
"Daniel D. Kadoe, D.D.S.","+12127214549","azxy@sinoconst.com.cn","http://www.cosmeticdentistofnewyork.com/","Cosmetic dentist","114 W 71st St","New York","NY","10023","US","4","4","","","","",""
"BNY Dental P.C., Natalia Bartkova, DDS","+16469920729","bny_dental@yahoo.com","https://drbartkova.com/","Dentist","425 E 79th St","New York","NY","10075","US","4.8","16","","","","",""
"One Manhattan Dental","+12122233632","smile@onemanhattandental.com","http://onemanhattandental.com/","Prosthodontist","800A 5th Ave #501","New York","NY","10065","US","5.0","205","","","","","1226"
"Kamdar Rajesh I DDS","+12125947171","jelissapdc@gmail.com","http://www.chelseadentalcare.com/","Dentist","135 W 27th St #1","New York","NY","10001","US","3.7","3","","","","",""
"Lenox Dental Arts, Dental Work NY","+18775739003","lenox@dentalworkny.com","http://www.dentalworkny.com/","Dentist","51 E 125th St","New York","NY","10035","US","3.9","187","","","","","2271"
"Ana B. Giglio, D.D.S.","+12124866622","ricardo@gdental.com","https://www.gdental.com/","Dental implants periodontist","16 E 52nd St","New York","NY","10022","US","5","4","","","","",""
"LuAnne M. Curatola, DDS","+12125863585","dental@curzag.com","http://www.creatingnycsmiles.com/","Dentist","330 W 58th St #605","New York","NY","10019","US","","","","","","","158"
"Holloway Glen DDS","+12128890999","gramercydentalnyc@gmail.com","http://www.gramercyparkdentalnyc.com/","Dentist","344 3rd Ave","New York","NY","10010","US","5.0","1","","","","",""
"Manhattan Family Orthodontics-Uptown","+12122078028","tc@manhattanfamilyorthodontics.com","https://www.manhattanfamilyorthodontics.com/","Orthodontist","207 E 63rd St","New York","NY","10022","US","4.9","140","","","","","1053"
"Fifth Avenue Smile","+12122455817","office@fifthavenuesmile.com","http://www.fifthavenuesmile.com/","Dentist","35 E 35th St Suite 1 J","New York","NY","10016","US","5","44","","","","",""
"Medical Orthodontics","+12127798442","drnoor@invisaligncafe.com","http://www.medicalorthodontics.org/","Medical spa","45 Park Ave PH 01","New York","NY","10016","US","","","","","","","9"
"Open Bright Pediatric Dentistry","+13474275933","","http://openbrightnyc.com/","Paediatric Dentist","20 E 110th St 3rd floor","New York","NY","10029","US","4.8","965","","","","","422"
"Irene Brandes,DDS","+12128687170","brandes@brandesdds.com","http://www.brandesdds.com/","Dentist","630 5th Ave","New York","NY","10111","US","5","6","","","","",""
"Nusblatt Dental","+12124732164","adam.nusblatt@gmail.com","https://www.nusblattdental.com/","Dental clinic","60 E 9th St Suite 206","New York","NY","10003","US","4.9","193","3.7","39","","",""
"Trinity Centre Dental","+12127326500","trinitycentredental@gmail.com","http://www.trinitycentredental.com/","Dentist","111 Broadway # 1707","New York","NY","10006","US","5.0","108","","","","",""
"West 10th Dental, P.C.","+12129825883","office@west10thdental.com","https://www.west10thdental.com/","Dentist","45 W 10th St LE","New York","NY","10011","US","4.1","14","","","","",""
"Shalman Dentistry","+12126581093","alex@alexshalman.com","https://www.shalmandentistry.com/","Dentist","44 W 10th St #1A","New York","NY","10011","US","5.0","282","5","16","","","461"
"Dr. K Dental: Dr. Kuznetsov","+12124757947","","http://www.dentistry.nyc/","Dentist","145 E 15th St # 1E","New York","NY","10003","US","4.9","153","","","","",""
"172 NYC Dental","+16469215541","","https://172nycdental.com/","Dentist","172 Madison Ave Comm 1","New York","NY","10016","US","4.9","225","4.4","43","","","151"
"Ebenezer Dental","+12126874400","ebenezerdental@hotmail.com","https://www.ebenezerdental.com/","Prosthodontist","474 7th Ave 4th Floor","New York","NY","10018","US","4.6","104","","","","",""
"212 Smiling","+12127645464","bp@212smiling.com","https://www.212smiling.com/","Dental implants periodontist","314 W 56th St #105","New York","NY","10019","US","4.9","467","","","","","207"
"Sutton Place Dental Associates","+12126441011","","https://www.suttonpda.com/","Dentist","433 E 56th St # 1D","New York","NY","10022","US","4.9","698","","","","",""
"Westside Dental","+12124962260","chelseadentalny@gmail.com","https://www.w72dentalny.com/","Dentist","162 W 72nd St Second Floor","New York","NY","10023","US","4.6","333","","","","","93"
"Clear Dental","+13474508975","cleardental56@gmail.com","http://www.cleardentalnyc.com/","Cosmetic dentist","140 E 56th St Ste. 1A","New York","NY","10022","US","5.0","374","","","","",""
"Dr. Tristan Lue - New York Dentist","+16468667773","tristanluedds@gmail.com","https://drtristanlue.com/","Dentist","70 W 36th St. #10a","New York","NY","10018","US","4.9","96","","","","","158"
"Dr. Dmitry Gerber, DDS","+12124605121","dgerberdds@gmail.com","https://dmitrygerberdds.setmore.com/beta","Dentist","150 Delancey St","New York","NY","10002","US","3.4","35","","","","",""
"Bespoke Dental","+12125820123","","https://www.bespokedentalnyc.com/","Dentist","145 W 57th St","New York","NY","10019","US","5.0","4","","","","","470"
"Yelena Shapiro, DDS, MS","+12123084100","shapirodds212@gmail.com","https://www.yelenashapiro.com/","Cosmetic dentist","131 E 38th St","New York","NY","10016","US","5.0","177","","","","",""
"Central Park West Dental Studio","+12126781144","gf@cpwdentalstudio.com","http://cpwdentalstudio.com/","Dentist","350 Central Prk W #1E","New York","NY","10025","US","4.4","205","","","","",""
"Chang Michael DDS","+12124608266","drmchang@drmichaelchang.com","http://www.drmichaelchang.com/","Dentist","184 2nd Ave","New York","NY","10003","US","2.8","35","3.2","22","","",""
"Manhattan Dentist","+12128672730","office@manhattannydentist.com","https://www.manhattannydentist.com/","Dentist","551 5th Ave rm 1114","New York","NY","10176","US","5.0","86","","","","",""
"Midtown Dental Services","+12126973946","midtowndental211@gmail.com","https://www.midtowndentalservices.com/","Dental implants periodontist","211 E 43rd St #1304","New York","NY","10017","US","4.9","88","","","","","8"
"Fashion District Dental","+12123911385","hello@risedentalstudio.com","https://risedentalstudio.com/","Dentist","1410 Broadway Rm 3004","New York","NY","10018","US","4.0","4","","","","",""
"ADR Dental - NYC","+12129705880","info@adrdentalnyc.com","https://www.adrdentalnyc.com/","Paediatric Dentist","55 E 9th St Suite 1K","New York","NY","10003","US","5.0","43","","","","","253"
"Healthy Chelsea Dental PC &amp; Stanley J. Boyd DMD","+12122060513","doctorstan@healthychelsea.nyc","http://www.chelseasmiles.com/","Dentist","77 W 15th St","New York","NY","10011","US","4.9","75","","","","","77"
"Robert Mitchell Sofer, DDS","+12122657250","rmsoferdds@gmail.com","http://www.robertsoferdds.com/","Dentist","310 W 56th St #1h","New York","NY","10019","US","5.0","12","","","","",""
"Shane Methal, DDS","+17187881001","info@methaldentalarts.com","https://www.methaldentalarts.com/","Dentist","407 9th St Flr 1","Brooklyn","NY","11215","US","5","35","","","","",""
"Parsons Smile Center - Manhattan, NY","+12122235100","drsalha@aol.com","https://parsonssmilecenter.com/","Dentist","133 E 58th St #806","New York","NY","10022","US","5.0","64","","","","",""
"Playhouse Dental","+12123734651","hello@playhousedentalforkids.com","https://www.playhousedentalforkids.com/","Paediatric Dentist","59 W 12th St Apt 1C","New York","NY","10011","US","5.0","129","","","","","489"
"Dental Office 10017 | Dentist | General Dentist","+16469076139","info@robertlichtensteindds.com","http://robertlichtensteindds.com/","Dentist","420 Lexington Ave # 228","New York","NY","10017","US","","","","","","",""
"SMP DENTAL P.C.","+12123801162","smpdentalpc@gmail.com","http://smpdentalnyc.com/","Dentist","70 St Marks Pl","New York","NY","10003","US","4.9","14","5","2","","",""
"Twinkle Dentist Pediatric","+12127579653","contact@twinkledentist.com","http://www.twinkledentist.com/","Paediatric Dentist","330 W 58th St #613","New York","NY","10019","US","4.7","114","","","","","233"
"Manhattan Periodontics and Implant Dentistry","+12126444477","info@periony.com","https://www.periony.com/","Periodontist","121 E 60th St Ste 6C1","New York","NY","10022","US","4.8","207","","","","","166"
"Emily Ro Dental","+12122481000","","https://www.dremilyro.com/","Dentist","250 8th Ave # 2s","New York","NY","10011","US","5","108","","","","",""
"Smile Up Pediatric Dentistry &amp; Orthodontics - Upper East Side","+13322233483","","https://www.smileupny.com/","Orthodontist","325 E 79th St Unit 1B","New York","NY","10075","US","5.0","88","","","","","171"
"Wellspring Dental","+17186252929","","https://wellspring.dental/brooklyn/","Dentist","441 Clinton St","Brooklyn","NY","11231","US","5.0","630","4.7","60","","","630"
"FS Dental Arts","+16466697407","info@fsdentalarts.com","https://www.fsdentalarts.com/","Dentist","357 W 127th St #1","New York","NY","10027","US","4.7","130","","","","","265"
"ENDODONTIST NYC Dr. Cezar M. Mitrut, D.M.D.","+12122282663","info@endodontistnyc.com","http://endodontistnyc.com/","Endodontist","8 Gramercy Pk S #1b","New York","NY","10003","US","5","10","","","","",""
"Concerned Dental Care of Richmond Hill","+17188431616","","https://concerneddentalcare.com/locations/richmond-hill/","Dentist","119-01 Liberty Ave","South Richmond Hill","NY","11419","US","3.0","118","","","","","1352"
"Emergency Dentist 24/7 Lower East Side NY","+13478152243","info@emergencydentalservice.com","https://www.emergencydentalservice.com/emergencydentist/new-york-ny-perfect-dental-care-lower-east-side","Emergency dental service","101 E 4th St","New York","NY","10003","US","1","1","5","1","","",""
